alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
euler_gamma,pi,0.577215664901532,3.141592653589793,0.5199397519233255,"[0; 1, 1, 12, 26, 2, 10, 3, 3, 1]",13,25,0.52,-6.024807667448506e-05,6.024807667448506e-05,16598.04022297525,0.004,euler_gamma / pi,13/25,6.024807667448506e-05,1,1659,1659,0.050005903639807954,3.9783001808318263,49.96986136226643,14938.0,18257.0,3320,0.05000590509967654,4.006024096385542,49.96987951807229,19917.0,24897.0,4981,0.3499786540447889,0.0,0.0
euler_gamma,inv_pi,0.577215664901532,0.3183098861837907,0.4800602480766745,"[0; 2, 12, 26, 2, 10, 3, 3, 1, 2]",12,25,0.48,6.0248076674540574e-05,6.0248076674540574e-05,16598.040222959957,0.004,euler_gamma / inv_pi,12/25,6.0248076674540574e-05,1,1659,1659,0.05000590363985387,3.9783001808318263,49.96986136226643,14938.0,18257.0,3320,0.050005905099698454,4.006024096385542,49.96987951807229,19917.0,24897.0,4981,0.3499786540460324,0.0,0.0
zeta3,pi_over_4,1.202056903159594,0.7853981633974483,0.2381571206386206,"[0; 4, 5, 36, 2, 4, 1, 3, 1, 2]",5,21,0.23809523809523808,6.188254338251875e-05,6.188254338251875e-05,16159.646086597191,0.004761904761904762,zeta3 / pi_over_4,5/21,6.188254338251875e-05,1,1615,1615,0.05000109505306444,4.705882352941177,49.96904024767802,14543.0,17775.0,3233,0.05001657327036592,4.763377667800804,49.984534488091555,19391.0,24239.0,4849,0.3499676838893585,0.0,0.0
sqrt5,euler_gamma,2.23606797749979,0.577215664901532,0.5356480651932423,"[0; 1, 1, 6, 1, 1, 18, 1, 2, 1]",15,28,0.5357142857142857,-6.622052104343634e-05,6.622052104343634e-05,15101.059071161117,0.0035714285714285713,sqrt5 / euler_gamma,15/28,6.622052104343634e-05,1,1510,1510,0.050029603648328515,3.5099337748344372,50.0,13590.0,16611.0,3022,0.05002960623715903,3.540701522170748,49.9669093315685,18121.0,22651.0,4531,0.34997154199181635,0.0,0.0
log3,pi_over_2,1.0986122886681098,1.5707963267948966,0.2082626870230038,"[0; 4, 1, 4, 24, 2, 1, 2, 1, 2]",5,24,0.20833333333333334,-7.064631032954738e-05,7.064631032954738e-05,14155.020911003703,0.004166666666666667,log3 / pi_over_2,5/24,7.064631032954738e-05,1,1415,1415,0.050017587713313064,4.098939929328622,49.96466431095406,12739.0,15570.0,2832,0.050017588756592644,4.166666666666666,49.96468926553672,16986.0,21232.0,4247,0.3499803440871332,0.0,0.0
log10,sqrt7,2.302585092994046,2.6457513110645907,0.8572157821910288,"[0; 1, 6, 279, 1, 2, 2, 3, 73, 2]",6,7,0.8571428571428571,7.292504817169032e-05,7.292504817169032e-05,13712.709488318205,0.014285714285714285,log10 / sqrt7,6/7,7.292504817169032e-05,1,1371,1371,0.050026583045746545,14.22319474835886,49.963530269876,12341.0,15083.0,2743,0.0500083639996054,14.290922347794385,49.98177178271965,16455.0,20569.0,4115,0.34998849175344543,0.0,0.0
two_pi,sqrt7,6.283185307179586,2.6457513110645907,0.8889639558142854,"[0; 1, 8, 164, 2, 1, 5, 1, 1, 3]",8,9,0.8888888888888888,7.50669253966052e-05,7.50669253966052e-05,13321.44609249207,0.011111111111111112,two_pi / sqrt7,8/9,7.50669253966052e-05,1,1332,1332,0.050032105776804454,11.11111111111111,50.0,11989.0,14653.0,2665,0.05001334456893068,11.106941838649156,49.9812382739212,15985.0,19982.0,3998,0.3499660528689607,0.0,0.0
sqrt2,pi_over_4,1.4142135623730951,0.7853981633974483,0.5652957046275169,"[0; 1, 1, 3, 3, 23, 1, 5, 37, 1]",13,23,0.5652173913043478,7.831332316909911e-05,7.831332316909911e-05,12769.219329905543,0.004347826086956522,sqrt2 / pi_over_4,13/23,7.831332316909911e-05,1,1276,1276,0.0500030568434417,4.310344827586207,50.0,11492.0,14046.0,2555,0.050022634234165246,4.344422700587084,49.980430528375734,15323.0,19153.0,3831,0.34996506478818123,0.0,0.0
inv_pi,sqrt7,0.3183098861837907,2.6457513110645907,0.8234504184017588,"[0; 1, 4, 1, 1, 1, 43, 6, 2, 1]",14,17,0.8235294117647058,-7.899336294703296e-05,7.899336294703296e-05,12659.291397310495,0.0058823529411764705,inv_pi / sqrt7,14/17,7.899336294703296e-05,1,1265,1265,0.050002798745497706,5.849802371541502,49.9604743083004,11393.0,13925.0,2533,0.05002254837723665,5.88235294117647,49.98026056060008,15191.0,18988.0,3798,0.34995707608398946,0.0,0.0
pi,sqrt7,3.141592653589793,2.6457513110645907,0.1765495815982412,"[0; 5, 1, 1, 1, 43, 6, 2, 1, 1]",3,17,0.17647058823529413,7.899336294706072e-05,7.899336294706072e-05,12659.291397306048,0.0058823529411764705,pi / sqrt7,3/17,7.899336294706072e-05,1,1265,1265,0.05000279874549667,5.849802371541502,49.9604743083004,11393.0,13925.0,2533,0.05002254837723773,5.88235294117647,49.98026056060008,15191.0,18988.0,3798,0.34995707608398935,0.0,0.0
