alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
two_pi,sqrt2_over_pi,6.283185307179586,0.4501581580785531,0.6973469023405352,"[0; 1, 2, 3, 3, 2, 7, 1, 1, 1]",16,23,0.6956521739130435,0.001694728427491743,0.001694728427491743,590.065041559511,0.004347826086956522,two_pi / sqrt2_over_pi,16/23,0.001694728427491743,1,59,59,0.05084185282475151,3.389830508474576,49.152542372881356,531.0,649.0,119,0.05041553664790351,4.201680672268908,49.57983193277311,708.0,885.0,178,0.34985119249715857,0.0,0.0
pi_over_4,pi_over_sqrt2,0.7853981633974483,2.221441469079183,0.6973469023405353,"[0; 1, 2, 3, 3, 2, 7, 1, 1, 1]",16,23,0.6956521739130435,0.001694728427491854,0.001694728427491854,590.0650415594723,0.004347826086956522,pi_over_4 / pi_over_sqrt2,16/23,0.001694728427491854,1,59,59,0.050841852824754945,3.389830508474576,49.152542372881356,531.0,649.0,119,0.0504155366479059,4.201680672268908,49.57983193277311,708.0,885.0,178,0.34985119249724705,0.0,0.0
pi_over_4,sqrt2_over_pi,0.7853981633974483,0.4501581580785531,0.3026530976594647,"[0; 3, 3, 3, 2, 7, 1, 1, 1, 1]",7,23,0.30434782608695654,-0.001694728427491854,0.001694728427491854,590.0650415594723,0.004347826086956522,pi_over_4 / sqrt2_over_pi,7/23,0.001694728427491854,1,59,59,0.050841852824755014,3.389830508474576,49.152542372881356,531.0,649.0,119,0.050415536647907336,4.201680672268908,49.57983193277311,708.0,885.0,178,0.3498511924972461,0.0,0.0
zeta3,sqrt3,1.202056903159594,1.7320508075688772,0.33503025096251743,"[0; 2, 1, 64, 1, 4, 3, 3, 1, 2]",1,3,0.3333333333333333,0.0016969176291841137,0.0016969176291841137,589.3037957775268,0.03333333333333333,zeta3 / sqrt3,1/3,0.0016969176291841137,1,58,58,0.05005907006093088,32.758620689655174,50.0,530.0,648.0,119,0.050484066585901086,32.773109243697476,49.57983193277311,707.0,883.0,177,0.3490495152013594,0.0,0.0
pi,log2,3.141592653589793,0.6931471805599453,0.8766997790072781,"[0; 1, 7, 9, 14, 1, 5, 2, 1, 2]",7,8,0.875,0.001699779007278135,0.001699779007278135,588.3117721293106,0.0125,pi / log2,7/8,0.001699779007278135,1,58,58,0.050143480714705035,12.068965517241379,50.0,529.0,647.0,119,0.05056930781079952,12.605042016806722,49.57983193277311,705.0,882.0,178,0.3487746422751993,0.0,0.0
inv_pi,log2,0.3183098861837907,0.6931471805599453,0.12330022099272187,"[0; 8, 9, 14, 1, 5, 2, 1, 2, 6]",1,8,0.125,-0.001699779007278135,0.001699779007278135,588.3117721293106,0.0125,inv_pi / log2,1/8,0.001699779007278135,1,58,58,0.05014348071470499,12.068965517241379,50.0,529.0,647.0,119,0.050569307810798804,12.605042016806722,49.57983193277311,705.0,882.0,178,0.3487746422752,0.0,0.0
log2,sqrt7,0.6931471805599453,2.6457513110645907,0.6232992353119733,"[0; 1, 1, 1, 1, 1, 8, 1, 1, 3]",5,8,0.625,-0.0017007646880267124,0.0017007646880267124,587.9708151515279,0.0125,log2 / sqrt7,5/8,0.0017007646880267124,1,58,58,0.05017255829678814,12.068965517241379,50.0,529.0,646.0,118,0.05017255829678972,12.711864406779661,50.0,705.0,881.0,177,0.3487063976051822,0.0,0.0
two_pi,silver,6.283185307179586,2.414213562373095,0.08524182421249904,"[0; 11, 1, 2, 1, 2, 1, 1, 2, 16]",2,23,0.08695652173913043,-0.0017146975266313924,0.0017146975266313924,583.1932363981123,0.004347826086956522,two_pi / silver,2/23,0.0017146975266313924,1,58,58,0.05058357703562616,3.4482758620689653,50.0,524.0,641.0,118,0.05058919300128536,4.23728813559322,49.152542372881356,699.0,874.0,176,0.348609604695592,0.0,0.0
two_pi,silver_inv,6.283185307179586,0.41421356237309515,0.914758175787501,"[0; 1, 10, 1, 2, 1, 2, 1, 1, 2]",21,23,0.9130434782608695,0.001714697526631448,0.001714697526631448,583.1932363980934,0.004347826086956522,two_pi / silver_inv,21/23,0.001714697526631448,1,58,58,0.050583577035626194,3.4482758620689653,50.0,524.0,641.0,118,0.05058919300128554,4.23728813559322,49.152542372881356,699.0,874.0,176,0.34860960469559255,0.0,0.0
silver,sqrt11,2.414213562373095,3.3166247903554,0.7351226694658521,"[0; 1, 2, 1, 3, 2, 4, 1, 1, 1]",14,19,0.7368421052631579,-0.0017194357973057128,0.0017194357973057128,581.5861235220065,0.005263157894736842,silver / sqrt11,14/19,0.0017194357973057128,1,58,58,0.050723356020519805,5.172413793103448,50.0,523.0,639.0,117,0.05029843675338193,5.128205128205128,49.572649572649574,697.0,872.0,176,0.34889738298636336,0.0,0.0
